/home/dominik/Population-Genetics/Programs/cpp_programs/src/.libs/lt-moran_model_boundary_mutation -n 100 -t 10000000 -m 0.1 
Jump 11800000; time 1789557.6;   69 to   68.
Jump 11900000; time 1801600.6;   43 to   44.
Jump 12000000; time 1816847.1;   57 to   58.
Jump 12100000; time 1829967.7;   85 to   86.
Jump 12200000; time 1843647.0;   99 to  100.
Jump 12300000; time 1858102.9;   67 to   68.
Jump 12400000; time 1878381.6;   55 to   56.
Jump 12500000; time 1890339.7;   39 to   38.
Jump 12600000; time 1902818.0;   81 to   82.
Jump 12700000; time 1916727.4;   37 to   36.
Jump 12800000; time 1931556.5;   79 to   78.
Jump 12900000; time 1945484.8;   89 to   90.
Jump 13000000; time 1961444.2;   13 to   14.
Jump 13100000; time 1977609.3;   37 to   38.
Jump 13200000; time 1995013.6;   25 to   26.
Jump 13300000; time 2013110.5;   37 to   36.
Jump 13400000; time 2031476.8;   57 to   58.
Jump 13500000; time 2049048.7;   23 to   22.
Jump 13600000; time 2061892.5;   95 to   94.
Jump 13700000; time 2078372.3;   93 to   94.
Jump 13800000; time 2089590.0;   31 to   30.
Jump 13900000; time 2108634.0;   29 to   30.
Jump 14000000; time 2123971.8;   35 to   36.
Jump 14100000; time 2139046.7;   95 to   94.
Jump 14200000; time 2156608.6;   71 to   70.
Jump 14300000; time 2167025.4;   23 to   22.
Jump 14400000; time 2181015.6;   71 to   72.
Jump 14500000; time 2198377.5;   19 to   20.
Jump 14600000; time 2214315.5;    1 to    0.
Jump 14700000; time 2233524.8;    7 to    8.
Jump 14800000; time 2246238.8;   63 to   62.
Jump 14900000; time 2261100.8;   91 to   92.
Jump 15000000; time 2275541.3;   69 to   70.
Jump 15100000; time 2287463.9;   65 to   64.
Jump 15200000; time 2300003.5;   67 to   66.
Jump 15300000; time 2320955.6;   55 to   54.
Jump 15400000; time 2337037.5;   53 to   52.
Jump 15500000; time 2356457.8;   17 to   16.
Jump 15600000; time 2374144.2;   41 to   42.
Jump 15700000; time 2388806.1;   97 to   98.
Jump 15800000; time 2404270.8;   79 to   80.
Jump 15900000; time 2416507.8;   65 to   64.
Jump 16000000; time 2428187.4;    3 to    4.
Jump 16100000; time 2442735.1;   75 to   76.
Jump 16200000; time 2456582.5;   17 to   18.
Jump 16300000; time 2475950.5;   61 to   62.
Jump 16400000; time 2492197.5;   89 to   90.
Jump 16500000; time 2507880.8;   69 to   68.
Jump 16600000; time 2525243.6;   67 to   68.
