/home/dominik/Population-Genetics/Programs/cpp_programs/src/.libs/lt-moran_model_boundary_mutation -n 1000 -t 7000000 -m 0.1 
Jump 13700000; time 216632.7;  759 to  760.
Jump 13800000; time 216928.5;  817 to  816.
Jump 13900000; time 223321.2;  879 to  880.
Jump 14000000; time 228215.9;  599 to  600.
Jump 14100000; time 228430.1;  423 to  422.
Jump 14200000; time 228650.3;  705 to  704.
Jump 14300000; time 228861.5;  351 to  350.
Jump 14400000; time 229090.2;  339 to  340.
Jump 14500000; time 231026.4;   19 to   20.
Jump 14600000; time 231775.7;  301 to  300.
Jump 14700000; time 236613.7;    7 to    8.
Jump 14800000; time 239582.1;  203 to  202.
Jump 14900000; time 242168.8;  781 to  782.
Jump 15000000; time 244781.4;  925 to  926.
Jump 15100000; time 246294.9;  859 to  858.
Jump 15200000; time 251942.7;  967 to  966.
Jump 15300000; time 253668.2;  955 to  954.
Jump 15400000; time 258607.7;  939 to  938.
Jump 15500000; time 260619.8;  557 to  556.
Jump 15600000; time 260825.3;  475 to  476.
Jump 15700000; time 261043.7;  579 to  580.
Jump 15800000; time 261249.6;  467 to  468.
Jump 15900000; time 261468.2;  409 to  408.
Jump 16000000; time 261691.1;  187 to  188.
Jump 16100000; time 262232.5;  495 to  496.
Jump 16200000; time 262445.3;  151 to  152.
Jump 16300000; time 269380.7;   69 to   70.
Jump 16400000; time 270783.4;  427 to  428.
Jump 16500000; time 270993.0;  639 to  638.
Jump 16600000; time 271249.2;  651 to  652.
Jump 16700000; time 271502.2;  103 to  104.
Jump 16800000; time 274886.8;   31 to   30.
Jump 16900000; time 275158.8;  459 to  458.
Jump 17000000; time 277938.7;   75 to   74.
Jump 17100000; time 278512.0;  105 to  106.
Jump 17200000; time 280223.8;  127 to  126.
Jump 17300000; time 284748.8;  243 to  242.
Jump 17400000; time 285078.8;  197 to  198.
Jump 17500000; time 285580.1;  447 to  446.
Jump 17600000; time 291802.5;  241 to  240.
Jump 17700000; time 292198.2;  227 to  226.
Jump 17800000; time 292476.3;  321 to  320.
Jump 17900000; time 292691.0;  509 to  508.
Jump 18000000; time 293301.8;  929 to  930.
Jump 18100000; time 294494.9;  747 to  746.
Jump 18200000; time 294707.7;  361 to  362.
Jump 18300000; time 297958.1;   49 to   50.
Jump 18400000; time 306908.9;    3 to    4.
Jump 18500000; time 309852.3;  223 to  224.
Jump 18600000; time 310201.6;  567 to  568.
Jump 18700000; time 313208.8;  999 to 1000.
Jump 18800000; time 319039.7;  737 to  736.
Jump 18900000; time 319336.4;  939 to  938.
Jump 19000000; time 319775.9;  443 to  442.
Jump 19100000; time 319989.4;  409 to  408.
Jump 19200000; time 321304.7;   27 to   28.
Jump 19300000; time 322163.8;  269 to  268.
Jump 19400000; time 322450.3;  395 to  396.
Jump 19500000; time 322654.6;  511 to  512.
Jump 19600000; time 322870.6;  335 to  336.
Jump 19700000; time 325485.5;  573 to  572.
Jump 19800000; time 325692.1;  593 to  592.
Jump 19900000; time 327959.6;  783 to  784.
Jump 20000000; time 328771.5;  803 to  804.
Jump 20100000; time 328988.4;  615 to  614.
Jump 20200000; time 329265.9;  615 to  616.
Jump 20300000; time 329553.7;  241 to  240.
Jump 20400000; time 333152.7;  187 to  186.
Jump 20500000; time 337663.1;  241 to  242.
Jump 20600000; time 337882.5;  469 to  468.
Jump 20700000; time 338277.1;  199 to  200.
Jump 20800000; time 339831.3;  193 to  192.
Jump 20900000; time 342519.6;  169 to  168.
Jump 21000000; time 345361.2;   37 to   36.
Jump 21100000; time 348973.8;  335 to  334.
Jump 21200000; time 349486.5;   83 to   82.
Jump 21300000; time 356721.5;   27 to   26.
Jump 21400000; time 358181.7;  665 to  664.
Jump 21500000; time 359531.9;  671 to  670.
Jump 21600000; time 359747.6;  463 to  462.
Jump 21700000; time 359956.0;  523 to  524.
Jump 21800000; time 360178.8;  241 to  240.
Jump 21900000; time 360441.3;  285 to  286.
Jump 22000000; time 361073.2;  285 to  284.
Jump 22100000; time 361336.3;  851 to  852.
Jump 22200000; time 365134.9;  871 to  872.
Jump 22300000; time 365413.2;  797 to  798.
Jump 22400000; time 365633.6;  675 to  674.
Jump 22500000; time 366768.4;  953 to  954.
Jump 22600000; time 370207.4;  951 to  952.
Jump 22700000; time 370803.3;  563 to  564.
Jump 22800000; time 374566.1;  967 to  966.
Jump 22900000; time 378482.4;  773 to  774.
Jump 23000000; time 378721.6;  255 to  254.
Jump 23100000; time 379071.0;  133 to  134.
Jump 23200000; time 384422.8;   53 to   52.
Jump 23300000; time 389651.8;  105 to  104.
Jump 23400000; time 392740.3;  199 to  200.
Jump 23500000; time 393003.0;  249 to  250.
Jump 23600000; time 397537.7;  337 to  336.
Jump 23700000; time 399754.8;   25 to   24.
Jump 23800000; time 402303.8;  361 to  362.
Jump 23900000; time 402517.8;  775 to  776.
Jump 24000000; time 404863.3;  823 to  824.
Jump 24100000; time 405120.2;  429 to  428.
Jump 24200000; time 405388.7;  149 to  148.
Jump 24300000; time 408211.1;   99 to  100.
Jump 24400000; time 410261.3;   65 to   64.
Jump 24500000; time 411321.5;  255 to  256.
Jump 24600000; time 417592.8;   85 to   84.
Jump 24700000; time 420877.8;    5 to    6.
Jump 24800000; time 427613.9;   73 to   74.
Jump 24900000; time 433702.3;  165 to  164.
Jump 25000000; time 435892.9;   39 to   38.
Jump 25100000; time 439552.6;  319 to  318.
Jump 25200000; time 439790.1;  797 to  798.
Jump 25300000; time 440080.7;  623 to  622.
Jump 25400000; time 446214.8;  939 to  940.
Jump 25500000; time 447588.5;  455 to  454.
Jump 25600000; time 452047.4;  945 to  944.
Jump 25700000; time 453720.8;  937 to  938.
Jump 25800000; time 455495.0;  845 to  846.
Jump 25900000; time 459432.6;  827 to  828.
Jump 26000000; time 459841.4;  923 to  922.
Jump 26100000; time 460382.9;  927 to  926.
Jump 26200000; time 461610.9;  681 to  682.
Jump 26300000; time 461838.3;  355 to  356.
Jump 26400000; time 462106.6;  255 to  254.
Jump 26500000; time 462589.1;   77 to   76.
Jump 26600000; time 467437.0;  173 to  174.
Jump 26700000; time 467668.4;  287 to  286.
Jump 26800000; time 469502.4;  317 to  316.
Jump 26900000; time 469726.1;  475 to  476.
Jump 27000000; time 469930.9;  737 to  736.
Jump 27100000; time 470201.2;  649 to  648.
Jump 27200000; time 479378.7;  977 to  978.
Jump 27300000; time 483787.6;  943 to  944.
Jump 27400000; time 486723.9;  877 to  878.
Jump 27500000; time 489615.3;  795 to  796.
Jump 27600000; time 490496.2;  921 to  920.
Jump 27700000; time 491230.1;  823 to  824.
Jump 27800000; time 495063.0;  591 to  590.
Jump 27900000; time 495303.1;  771 to  772.
Jump 28000000; time 495526.9;  257 to  258.
Jump 28100000; time 496266.7;  185 to  186.
Jump 28200000; time 498551.5;   73 to   74.
Jump 28300000; time 498927.3;  295 to  296.
Jump 28400000; time 499169.1;  769 to  768.
Jump 28500000; time 499399.1;  527 to  526.
Jump 28600000; time 499664.8;  287 to  286.
Jump 28700000; time 499883.9;  409 to  408.
Jump 28800000; time 500918.9;   59 to   60.
Jump 28900000; time 505560.7;  359 to  358.
Jump 29000000; time 505768.4;  671 to  672.
Jump 29100000; time 506037.6;  687 to  688.
Jump 29200000; time 506272.6;  357 to  356.
Jump 29300000; time 511966.3;   73 to   72.
Jump 29400000; time 513686.8;  285 to  284.
Jump 29500000; time 514091.3;   15 to   16.
Jump 29600000; time 515926.3;  329 to  330.
Jump 29700000; time 516217.6;  139 to  140.
Jump 29800000; time 516452.0;  423 to  424.
Jump 29900000; time 516703.4;  557 to  556.
Jump 30000000; time 517213.8;  975 to  976.
Jump 30100000; time 523217.2;  741 to  742.
Jump 30200000; time 523653.0;  183 to  182.
Jump 30300000; time 526477.4;    3 to    4.
Jump 30400000; time 527205.6;  131 to  130.
Jump 30500000; time 527425.5;  687 to  686.
Jump 30600000; time 527674.7;  177 to  178.
Jump 30700000; time 527935.2;  101 to  102.
Jump 30800000; time 528213.0;  459 to  458.
Jump 30900000; time 531411.3;  921 to  920.
Jump 31000000; time 538301.4;  995 to  996.
Jump 31100000; time 540187.7;  663 to  662.
Jump 31200000; time 540401.7;  559 to  560.
Jump 31300000; time 540646.4;  115 to  116.
Jump 31400000; time 541777.6;  499 to  498.
Jump 31500000; time 542000.3;  307 to  308.
Jump 31600000; time 542257.4;  829 to  828.
Jump 31700000; time 544900.4;  913 to  912.
Jump 31800000; time 545380.5;  907 to  906.
Jump 31900000; time 547810.3;  455 to  456.
Jump 32000000; time 548029.1;  219 to  220.
Jump 32100000; time 549544.8;  137 to  136.
Jump 32200000; time 551301.0;  297 to  298.
Jump 32300000; time 556326.4;  111 to  110.
Jump 32400000; time 557173.7;  567 to  568.
Jump 32500000; time 557393.2;  769 to  768.
Jump 32600000; time 563317.4;  995 to  996.
Jump 32700000; time 566107.3;  689 to  690.
Jump 32800000; time 566318.9;  609 to  610.
Jump 32900000; time 566557.3;  651 to  652.
Jump 33000000; time 571583.7;  721 to  722.
Jump 33100000; time 571838.1;  317 to  316.
Jump 33200000; time 574148.8;   49 to   50.
Jump 33300000; time 577213.1;  569 to  568.
Jump 33400000; time 577431.6;  391 to  392.
Jump 33500000; time 577667.1;  683 to  684.
Jump 33600000; time 577905.1;  723 to  722.
Jump 33700000; time 581675.0;  909 to  910.
Jump 33800000; time 582814.9;  809 to  810.
Jump 33900000; time 584396.4;  791 to  790.
Jump 34000000; time 585646.7;  941 to  940.
Jump 34100000; time 592813.8;  845 to  844.
Jump 34200000; time 593037.7;  383 to  382.
Jump 34300000; time 593261.8;  465 to  464.
Jump 34400000; time 593471.3;  673 to  672.
Jump 34500000; time 593683.4;  571 to  570.
Jump 34600000; time 594038.9;   59 to   60.
Jump 34700000; time 595088.2;  755 to  756.
Jump 34800000; time 595314.3;  167 to  166.
Jump 34900000; time 599805.8;  159 to  158.
Jump 35000000; time 601664.4;  159 to  158.
Jump 35100000; time 604505.2;  289 to  288.
Jump 35200000; time 606932.0;  461 to  462.
Jump 35300000; time 607139.4;  491 to  490.
Jump 35400000; time 608980.6;   73 to   72.
Jump 35500000; time 609548.5;  365 to  366.
Jump 35600000; time 609769.5;  449 to  448.
Jump 35700000; time 612457.9;    9 to    8.
Jump 35800000; time 616563.9;  479 to  480.
Jump 35900000; time 616816.8;  827 to  826.
Jump 36000000; time 617117.5;  885 to  884.
Jump 36100000; time 625700.2;  887 to  886.
Jump 36200000; time 627939.6;  809 to  808.
Jump 36300000; time 628545.3;  967 to  968.
Jump 36400000; time 637324.4;  911 to  910.
Jump 36500000; time 640996.4;  353 to  354.
Jump 36600000; time 641212.9;  701 to  700.
Jump 36700000; time 641432.1;  439 to  438.
Jump 36800000; time 641642.1;  447 to  448.
Jump 36900000; time 642825.4;  463 to  462.
Jump 37000000; time 646155.9;  231 to  232.
Jump 37100000; time 650904.5;   31 to   30.
Jump 37200000; time 663724.7;   49 to   50.
Jump 37300000; time 671539.4;   41 to   42.
Jump 37400000; time 681319.9;   25 to   24.
Jump 37500000; time 684149.4;  207 to  208.
Jump 37600000; time 684448.1;  151 to  150.
Jump 37700000; time 686377.8;  751 to  752.
Jump 37800000; time 686687.6;  763 to  764.
Jump 37900000; time 686943.1;  659 to  660.
Jump 38000000; time 687175.8;  577 to  578.
Jump 38100000; time 687391.3;  541 to  542.
Jump 38200000; time 687597.5;  587 to  586.
Jump 38300000; time 687810.5;  353 to  354.
Jump 38400000; time 691011.5;   65 to   64.
Jump 38500000; time 691292.6;  189 to  188.
Jump 38600000; time 691555.3;  371 to  372.
Jump 38700000; time 692013.4;  135 to  134.
Jump 38800000; time 693361.5;  487 to  486.
Jump 38900000; time 693604.6;  777 to  776.
Jump 39000000; time 693840.6;  375 to  374.
Jump 39100000; time 698777.7;   61 to   62.
Jump 39200000; time 699103.7;  687 to  688.
Jump 39300000; time 699783.2;  937 to  938.
Jump 39400000; time 701245.1;  791 to  792.
Jump 39500000; time 704524.9;  721 to  720.
Jump 39600000; time 704836.1;  657 to  658.
Jump 39700000; time 705040.7;  421 to  422.
Jump 39800000; time 705483.3;   77 to   76.
Jump 39900000; time 708670.4;  137 to  138.
Jump 40000000; time 709072.1;   75 to   76.
Jump 40100000; time 710168.9;  423 to  422.
Jump 40200000; time 710388.7;  519 to  518.
Jump 40300000; time 710593.0;  679 to  678.
Jump 40400000; time 710925.7;  873 to  874.
Jump 40500000; time 711867.5;  385 to  384.
Jump 40600000; time 714964.9;  849 to  848.
Jump 40700000; time 720653.2;  951 to  952.
Jump 40800000; time 721292.3;  929 to  930.
Jump 40900000; time 721533.2;  779 to  780.
Jump 41000000; time 725103.8;  677 to  676.
Jump 41100000; time 729104.7;  999 to  998.
Jump 41200000; time 735368.7;  731 to  732.
Jump 41300000; time 736034.4;  905 to  906.
Jump 41400000; time 742484.8;  863 to  862.
Jump 41500000; time 745036.2;  745 to  744.
Jump 41600000; time 745263.8;  729 to  728.
Jump 41700000; time 747530.9;  777 to  776.
Jump 41800000; time 750951.2;  647 to  648.
Jump 41900000; time 751188.0;  345 to  344.
Jump 42000000; time 751476.3;  311 to  312.
Jump 42100000; time 752280.7;  185 to  186.
